"","Gender","EthnicGroup","ParentEduc","TestPrep","ParentMaritalStatus","PracticeSport","IsFirstChild","NrSiblings","TransportMeans","WklyStudyHours","MathScore","ReadingScore","WritingScore","OverallScore"
"507","male","Negra","high school","completed","married","sometimes",1,1,0,"> 10",75,70,69,71
"508","female","Asiática","bachelor's degree","completed","married","sometimes",0,1,1,"5 - 10",66,83,83,77
"510","female","Hispana","high school","none","married","never",0,1,0,"5 - 10",49,65,60,58
"512","male","Americana","associate's degree","completed","married","sometimes",1,1,0,"> 10",99,93,87,93
"513","male","Asiática","high school","completed","married","sometimes",1,1,1,"5 - 10",75,69,68,71
"516","female","Hispana","associate's degree","none","single","regularly",1,1,1,"> 10",86,97,93,92
"518","male","Caucásica","some high school","completed","married","regularly",0,1,0,"5 - 10",80,84,82,82
"519","female","Americana","some high school","completed","married","sometimes",0,1,0,"5 - 10",92,100,97,96
"520","male","Asiática","high school","completed","divorced","regularly",0,1,1,"< 5",71,66,64,67
"521","female","Asiática","high school","none","married","regularly",1,1,0,"< 5",61,66,64,64
"522","male","Asiática","master's degree","none","married","sometimes",0,1,0,"< 5",77,72,69,73
"524","male","Negra","bachelor's degree","completed","married","regularly",1,1,1,"5 - 10",89,91,90,90
"526","male","Hispana","some college","none","married","regularly",1,1,1,"5 - 10",79,62,65,69
"527","male","Caucásica","associate's degree","none","divorced","regularly",0,1,1,"> 10",56,46,41,48
"529","male","Asiática","master's degree","none","single","regularly",0,1,0,"5 - 10",63,69,69,67
"530","female","Negra","associate's degree","none","single","sometimes",1,1,0,"< 5",51,68,68,62
"531","male","Hispana","some high school","none","married","sometimes",0,1,0,"> 10",75,66,63,68
"533","female","Asiática","some college","none","single","regularly",0,1,0,"> 10",66,76,77,73
"534","male","Asiática","bachelor's degree","completed","married","regularly",1,1,0,"< 5",95,89,92,92
"537","male","Negra","associate's degree","none","divorced","sometimes",1,1,0,"< 5",46,42,44,44
"538","female","Caucásica","bachelor's degree","completed","single","never",1,1,1,"5 - 10",89,98,97,95
"540","male","Negra","high school","none","married","regularly",0,1,1,"< 5",62,47,47,52
"543","male","Americana","bachelor's degree","none","married","never",0,1,0,"5 - 10",88,94,89,90
"548","male","Americana","some college","completed","married","sometimes",0,0,0,"5 - 10",61,51,52,55
"549","female","Negra","high school","none","married","sometimes",0,1,0,"< 5",78,89,87,85
"550","female","Negra","some college","completed","single","sometimes",1,1,0,"> 10",49,56,59,55
"551","female","Hispana","master's degree","none","married","regularly",1,1,0,"< 5",52,60,68,60
"552","female","Hispana","some high school","none","married","sometimes",1,1,0,"< 5",78,95,94,89
"553","female","Caucásica","some high school","none","divorced","never",0,1,0,"5 - 10",74,77,78,76
"554","female","Hispana","bachelor's degree","none","widowed","sometimes",0,1,0,"5 - 10",63,73,78,71
"556","female","Americana","high school","none","married","sometimes",0,1,0,"5 - 10",55,73,73,67
"557","female","Asiática","bachelor's degree","none","married","regularly",0,1,0,"< 5",43,62,62,56
"560","male","Asiática","some college","none","widowed","sometimes",1,1,1,"< 5",56,56,52,55
"564","female","Asiática","bachelor's degree","completed","married","regularly",1,1,1,"5 - 10",94,100,100,98
"565","female","Asiática","bachelor's degree","completed","married","sometimes",0,1,0,"> 10",57,80,73,70
"566","male","Negra","high school","none","married","regularly",1,1,0,"5 - 10",30,24,15,23
"568","female","Hispana","high school","none","married","sometimes",0,1,0,"> 10",71,78,74,74
"569","female","Hispana","some high school","none","single","sometimes",1,1,0,"5 - 10",65,82,81,76
"571","female","Asiática","high school","none","divorced","sometimes",1,1,0,"5 - 10",29,29,30,29
"572","female","Caucásica","some college","none","married","sometimes",1,1,0,"5 - 10",76,78,80,78
"573","male","Hispana","high school","none","married","sometimes",0,1,0,"5 - 10",60,57,51,56
"575","male","Asiática","some high school","none","divorced","sometimes",0,1,1,"< 5",72,70,60,67
"577","female","Asiática","master's degree","none","married","sometimes",0,1,1,"5 - 10",40,59,55,51
"579","female","Negra","associate's degree","none","married","regularly",1,1,0,"< 5",57,62,65,61
"580","male","Hispana","some college","completed","married","sometimes",0,1,0,"5 - 10",69,60,63,64
"581","female","Asiática","some college","none","married","sometimes",0,1,0,"< 5",56,58,64,59
"582","male","Asiática","bachelor's degree","completed","married","sometimes",0,0,1,"< 5",91,88,89,89
"583","female","Americana","associate's degree","none","married","sometimes",1,1,0,"5 - 10",82,93,93,89
"584","female","Asiática","high school","none","married","sometimes",0,1,0,"5 - 10",60,68,72,67
"587","male","Hispana","master's degree","none","married","sometimes",0,1,0,"5 - 10",95,82,86,88
"589","female","Asiática","high school","none","single","sometimes",0,1,0,"> 10",36,61,55,51
"591","male","Asiática","high school","completed","married","sometimes",0,1,1,"> 10",59,51,53,54
"592","male","Americana","some college","completed","divorced","never",0,1,1,"5 - 10",97,94,83,91
"595","male","Negra","associate's degree","completed","divorced","never",0,1,0,"5 - 10",66,68,61,65
"597","male","Hispana","some college","none","married","regularly",1,1,0,"5 - 10",50,57,47,51
"598","female","Asiática","some high school","completed","married","regularly",0,0,0,"5 - 10",45,51,56,51
"599","male","Hispana","some college","none","single","never",0,1,1,"5 - 10",64,63,68,65
"600","male","Negra","high school","none","widowed","regularly",0,1,1,"5 - 10",81,60,66,69
"601","female","Negra","bachelor's degree","completed","married","sometimes",0,1,0,"> 10",67,75,82,75
"602","female","Asiática","high school","none","married","sometimes",1,1,0,"5 - 10",75,88,85,83
"603","male","Americana","high school","none","married","sometimes",0,0,0,"5 - 10",71,74,64,70
"607","male","Hispana","high school","none","single","sometimes",1,1,0,"> 10",42,52,52,49
"609","female","Negra","some high school","none","married","never",0,1,1,"< 5",67,78,75,73
"611","male","Negra","high school","none","single","sometimes",0,1,0,"< 5",67,64,58,63
"612","female","Negra","bachelor's degree","completed","married","never",0,1,0,"5 - 10",63,79,78,73
"618","female","Americana","high school","completed","married","regularly",0,1,1,"5 - 10",70,81,77,76
"619","female","Hispana","some college","completed","married","sometimes",0,1,0,"< 5",82,84,96,87
"620","female","Americana","associate's degree","completed","single","sometimes",1,1,0,"5 - 10",65,70,74,70
"621","female","Negra","some high school","none","divorced","sometimes",0,1,0,"5 - 10",73,79,79,77
"623","male","Asiática","associate's degree","none","married","sometimes",1,1,0,"> 10",79,68,65,71
"624","male","Hispana","some high school","none","married","sometimes",1,1,0,"> 10",71,66,62,66
"626","male","Hispana","associate's degree","none","divorced","sometimes",0,1,1,"5 - 10",90,87,85,87
"628","female","Hispana","some college","none","divorced","regularly",0,1,1,"< 5",54,70,69,64
"632","female","Asiática","some college","completed","married","sometimes",0,1,0,"5 - 10",63,73,71,69
"633","female","Negra","bachelor's degree","none","married","sometimes",1,1,0,"< 5",74,83,85,81
"635","male","Hispana","associate's degree","completed","single","sometimes",0,1,1,"5 - 10",81,72,77,77
"636","female","Asiática","high school","none","married","never",1,1,0,"< 5",62,73,64,66
"637","male","Hispana","associate's degree","none","married","sometimes",0,0,0,"< 5",50,56,49,52
"638","female","Asiática","some college","none","married","regularly",0,1,1,"5 - 10",71,79,77,76
"640","female","Hispana","high school","completed","divorced","regularly",0,1,1,"5 - 10",71,78,79,76
"646","female","Hispana","high school","none","divorced","regularly",0,1,0,"< 5",66,71,74,70
"647","male","Negra","high school","none","divorced","regularly",0,1,0,"5 - 10",63,55,55,58
"650","female","Caucásica","master's degree","completed","single","sometimes",0,1,0,"> 10",97,100,100,99
"651","male","Caucásica","some college","completed","single","sometimes",0,0,0,"5 - 10",85,75,68,76
"653","male","Americana","high school","none","divorced","sometimes",0,1,0,"5 - 10",53,58,44,52
"654","male","Caucásica","some college","none","married","sometimes",0,1,1,"5 - 10",93,90,83,89
"655","female","Asiática","associate's degree","none","married","never",0,1,0,"5 - 10",47,52,51,50
"656","female","Caucásica","associate's degree","none","married","sometimes",1,1,1,"< 5",70,74,76,73
"658","female","Hispana","associate's degree","none","married","regularly",0,1,0,"5 - 10",79,78,74,77
"659","female","Asiática","some high school","none","single","sometimes",0,1,0,"5 - 10",49,63,56,56
"663","female","Hispana","associate's degree","completed","married","sometimes",0,1,0,"5 - 10",57,78,79,71
"664","male","Asiática","high school","none","divorced","never",0,1,1,"5 - 10",64,65,57,62
"665","female","Caucásica","bachelor's degree","completed","single","regularly",0,1,0,"5 - 10",81,82,84,82
"669","female","Negra","some high school","completed","married","sometimes",0,1,0,"< 5",57,62,62,60
"671","male","Hispana","high school","none","married","regularly",0,1,1,"5 - 10",47,34,36,39
"673","male","Hispana","high school","none","married","never",0,1,0,"< 5",83,84,75,81
"674","female","Hispana","associate's degree","completed","divorced","sometimes",0,0,0,"5 - 10",42,61,58,54
"676","female","Caucásica","some high school","completed","divorced","sometimes",0,1,0,"5 - 10",80,85,85,83
"677","female","Hispana","some college","none","married","sometimes",0,1,0,"5 - 10",98,100,99,99
"678","male","Hispana","master's degree","none","divorced","sometimes",1,1,0,"< 5",79,81,84,81
"679","female","Negra","some high school","completed","married","regularly",1,1,0,"> 10",63,72,77,71
"680","female","Negra","associate's degree","completed","married","regularly",0,0,1,"< 5",75,93,87,85
"682","female","Asiática","associate's degree","completed","single","sometimes",0,1,1,"5 - 10",96,96,99,97
"685","female","Asiática","some college","none","married","regularly",1,1,1,"5 - 10",63,73,71,69
"686","male","Hispana","some high school","completed","married","regularly",0,1,0,"5 - 10",56,59,60,58
"688","male","Asiática","high school","none","married","regularly",1,1,0,"5 - 10",51,48,43,47
"689","male","Negra","some college","none","divorced","sometimes",0,1,0,"> 10",48,43,41,44
"692","male","Caucásica","some high school","completed","married","regularly",0,0,0,"5 - 10",70,51,58,60
"693","female","Hispana","high school","none","single","sometimes",0,1,1,"< 5",70,90,82,81
"694","male","Asiática","some college","none","single","regularly",1,1,1,"< 5",52,38,37,42
"695","female","Negra","associate's degree","completed","divorced","sometimes",0,1,1,"< 5",65,75,78,73
"697","female","Asiática","some college","completed","married","never",0,1,1,"> 10",86,88,93,89
"699","female","Caucásica","some college","none","married","never",0,1,0,"> 10",52,57,56,55
"704","male","Asiática","high school","none","married","regularly",0,0,1,"5 - 10",62,60,56,59
"707","female","Asiática","high school","none","married","sometimes",0,1,1,"5 - 10",81,84,82,82
"708","female","Asiática","associate's degree","completed","married","sometimes",0,1,0,"5 - 10",59,73,72,68
"709","male","Negra","some college","none","married","regularly",0,1,1,"5 - 10",56,55,48,53
"712","male","Asiática","some college","none","married","sometimes",0,1,0,"5 - 10",69,64,68,67
"714","male","Negra","some college","completed","married","sometimes",0,1,0,"5 - 10",87,84,86,86
"718","female","Asiática","some high school","completed","married","sometimes",1,1,1,"5 - 10",77,90,85,84
"719","male","Asiática","associate's degree","none","single","regularly",0,1,0,"5 - 10",59,55,54,56
"720","female","Caucásica","associate's degree","none","married","sometimes",0,1,0,"> 10",86,96,93,92
"721","male","Hispana","some college","none","married","sometimes",1,1,1,"> 10",56,58,53,56
"723","female","Hispana","some college","completed","married","regularly",0,1,1,"5 - 10",53,59,66,59
"725","female","Asiática","high school","none","married","sometimes",0,1,0,"5 - 10",53,72,64,63
"727","male","Hispana","some high school","completed","single","never",1,1,0,"5 - 10",75,79,83,79
"728","female","Negra","high school","none","divorced","never",0,1,1,"5 - 10",60,61,61,61
"729","male","Hispana","some college","none","married","sometimes",0,0,0,"5 - 10",60,63,59,61
"730","female","Negra","high school","none","married","sometimes",0,0,0,"5 - 10",74,72,72,73
"732","male","Negra","high school","completed","single","sometimes",0,0,0,"5 - 10",76,62,60,66
"733","female","Hispana","some high school","none","married","never",0,1,1,"> 10",67,70,74,70
"736","male","Hispana","bachelor's degree","none","married","regularly",0,1,0,"> 10",79,75,77,77
"737","female","Negra","some high school","completed","married","never",0,0,0,"< 5",48,65,68,60
"738","female","Asiática","bachelor's degree","none","married","sometimes",0,1,0,"5 - 10",62,78,79,73
"740","female","Negra","some high school","none","married","regularly",0,1,1,"< 5",48,57,55,53
